activity_id,week,location_id,co_share_group
A001,27,PLAT:BET:S15:EB,g001
A001,27,PLAT:BET:S16:EB,g001
A001,27,PLAT:BET:S17:EB,g001
A001,27,SEC:BET:S15_S16:EB,g001
A001,27,SEC:BET:S16_S17:EB,g001
A001,28,PLAT:BET:S15:EB,g001
A001,28,PLAT:BET:S16:EB,g001
A001,28,PLAT:BET:S17:EB,g001
A001,28,SEC:BET:S15_S16:EB,g001
A001,28,SEC:BET:S16_S17:EB,g001
A002,16,PLAT:BET:S11:WB,g001
A002,16,PLAT:BET:S12:WB,g001
A002,16,PLAT:BET:S13:WB,g001
A002,16,SEC:BET:S11_S12:WB,g001
A002,16,SEC:BET:S12_S13:WB,g001
A003,11,PLAT:BET:H01:EB,g001
A003,11,PLAT:BET:H02:EB,g001
A003,11,PLAT:BET:S15:EB,g001
A003,11,PLAT:BET:S16:EB,g001
A003,11,SEC:BET:H01_H02:EB,g001
A003,11,SEC:BET:H02_S15:EB,g001
A003,11,SEC:BET:S15_S16:EB,g001
A003,12,PLAT:BET:H01:EB,g001
A003,12,PLAT:BET:H02:EB,g001
A003,12,PLAT:BET:S15:EB,g001
A003,12,PLAT:BET:S16:EB,g001
A003,12,SEC:BET:H01_H02:EB,g001
A003,12,SEC:BET:H02_S15:EB,g001
A003,12,SEC:BET:S15_S16:EB,g001
A003,13,PLAT:BET:H01:EB,g001
A003,13,PLAT:BET:H02:EB,g001
A003,13,PLAT:BET:S15:EB,g001
A003,13,PLAT:BET:S16:EB,g001
A003,13,SEC:BET:H01_H02:EB,g001
A003,13,SEC:BET:H02_S15:EB,g001
A003,13,SEC:BET:S15_S16:EB,g001
A003,14,PLAT:BET:H01:EB,g001
A003,14,PLAT:BET:H02:EB,g001
A003,14,PLAT:BET:S15:EB,g001
A003,14,PLAT:BET:S16:EB,g001
A003,14,SEC:BET:H01_H02:EB,g001
A003,14,SEC:BET:H02_S15:EB,g001
A003,14,SEC:BET:S15_S16:EB,g001
A003,17,PLAT:BET:H01:EB,g001
A003,17,PLAT:BET:H02:EB,g001
A003,17,PLAT:BET:S15:EB,g001
A003,17,PLAT:BET:S16:EB,g001
A003,17,SEC:BET:H01_H02:EB,g001
A003,17,SEC:BET:H02_S15:EB,g001
A003,17,SEC:BET:S15_S16:EB,g001
A004,19,PLAT:ALP:H01:EB,g001
A004,19,PLAT:ALP:S03:EB,g001
A004,19,PLAT:ALP:S04:EB,g001
A004,19,SEC:ALP:S03_S04:EB,g001
A004,19,SEC:ALP:S04_H01:EB,g001
A004,22,PLAT:ALP:H01:EB,g001
A004,22,PLAT:ALP:S03:EB,g001
A004,22,PLAT:ALP:S04:EB,g001
A004,22,SEC:ALP:S03_S04:EB,g001
A004,22,SEC:ALP:S04_H01:EB,g001
A004,23,PLAT:ALP:H01:EB,g001
A004,23,PLAT:ALP:S03:EB,g001
A004,23,PLAT:ALP:S04:EB,g001
A004,23,SEC:ALP:S03_S04:EB,g001
A004,23,SEC:ALP:S04_H01:EB,g001
A006,8,PLAT:ALP:H01:WB,g001
A006,8,PLAT:ALP:H02:WB,g001
A006,8,PLAT:ALP:S03:WB,g001
A006,8,PLAT:ALP:S04:WB,g001
A006,8,SEC:ALP:H01_H02:WB,g001
A006,8,SEC:ALP:S03_S04:WB,g001
A006,8,SEC:ALP:S04_H01:WB,g001
A006,20,PLAT:ALP:H01:WB,g001
A006,20,PLAT:ALP:H02:WB,g001
A006,20,PLAT:ALP:S03:WB,g001
A006,20,PLAT:ALP:S04:WB,g001
A006,20,SEC:ALP:H01_H02:WB,g001
A006,20,SEC:ALP:S03_S04:WB,g001
A006,20,SEC:ALP:S04_H01:WB,g001
A007,15,PLAT:BET:H01:EB,g001
A007,15,PLAT:BET:H02:EB,g001
A007,15,SEC:BET:H01_H02:EB,g001
A007,16,PLAT:BET:H01:EB,g001
A007,16,PLAT:BET:H02:EB,g001
A007,16,SEC:BET:H01_H02:EB,g001
A007,18,PLAT:BET:H01:EB,g001
A007,18,PLAT:BET:H02:EB,g001
A007,18,SEC:BET:H01_H02:EB,g001
A007,21,PLAT:BET:H01:EB,g001
A007,21,PLAT:BET:H02:EB,g001
A007,21,SEC:BET:H01_H02:EB,g001
A007,22,PLAT:BET:H01:EB,g001
A007,22,PLAT:BET:H02:EB,g001
A007,22,SEC:BET:H01_H02:EB,g001
A007,23,PLAT:BET:H01:EB,g001
A007,23,PLAT:BET:H02:EB,g001
A007,23,SEC:BET:H01_H02:EB,g001
A007,24,PLAT:BET:H01:EB,g001
A007,24,PLAT:BET:H02:EB,g001
A007,24,SEC:BET:H01_H02:EB,g001
A008,16,PLAT:BET:S17:EB,g001
A008,16,PLAT:BET:S18:EB,g001
A008,16,SEC:BET:S17_S18:EB,g001
A008,19,PLAT:BET:S17:EB,g001
A008,19,PLAT:BET:S18:EB,g001
A008,19,SEC:BET:S17_S18:EB,g001
A008,23,PLAT:BET:S17:EB,g001
A008,23,PLAT:BET:S18:EB,g001
A008,23,SEC:BET:S17_S18:EB,g001
A008,25,PLAT:BET:S17:EB,g001
A008,25,PLAT:BET:S18:EB,g001
A008,25,SEC:BET:S17_S18:EB,g001
A008,27,PLAT:BET:S17:EB,g001
A008,27,PLAT:BET:S18:EB,g001
A008,27,SEC:BET:S17_S18:EB,g001
A009,2,PLAT:ALP:S05:EB,g001
A009,2,PLAT:ALP:S06:EB,g001
A009,2,SEC:ALP:S05_S06:EB,g001
A009,3,PLAT:ALP:S05:EB,g001
A009,3,PLAT:ALP:S06:EB,g001
A009,3,SEC:ALP:S05_S06:EB,g001
A009,4,PLAT:ALP:S05:EB,g001
A009,4,PLAT:ALP:S06:EB,g001
A009,4,SEC:ALP:S05_S06:EB,g001
A009,5,PLAT:ALP:S05:EB,g001
A009,5,PLAT:ALP:S06:EB,g001
A009,5,SEC:ALP:S05_S06:EB,g001
A009,6,PLAT:ALP:S05:EB,g001
A009,6,PLAT:ALP:S06:EB,g001
A009,6,SEC:ALP:S05_S06:EB,g001
A009,7,PLAT:ALP:S05:EB,g001
A009,7,PLAT:ALP:S06:EB,g001
A009,7,SEC:ALP:S05_S06:EB,g001
A009,8,PLAT:ALP:S05:EB,g001
A009,8,PLAT:ALP:S06:EB,g001
A009,8,SEC:ALP:S05_S06:EB,g001
A011,17,PLAT:BET:S15:EB,g001
A011,17,PLAT:BET:S16:EB,g001
A011,17,PLAT:BET:S17:EB,g001
A011,17,SEC:BET:S15_S16:EB,g001
A011,17,SEC:BET:S16_S17:EB,g001
A011,20,PLAT:BET:S15:EB,g001
A011,20,PLAT:BET:S16:EB,g001
A011,20,PLAT:BET:S17:EB,g001
A011,20,SEC:BET:S15_S16:EB,g001
A011,20,SEC:BET:S16_S17:EB,g001
A012,2,PLAT:BET:H01:WB,g001
A012,2,PLAT:BET:H02:WB,g001
A012,2,PLAT:BET:S15:WB,g001
A012,2,SEC:BET:H01_H02:WB,g001
A012,2,SEC:BET:H02_S15:WB,g001
A012,3,PLAT:BET:H01:WB,g001
A012,3,PLAT:BET:H02:WB,g001
A012,3,PLAT:BET:S15:WB,g001
A012,3,SEC:BET:H01_H02:WB,g001
A012,3,SEC:BET:H02_S15:WB,g001
A012,4,PLAT:BET:H01:WB,g001
A012,4,PLAT:BET:H02:WB,g001
A012,4,PLAT:BET:S15:WB,g001
A012,4,SEC:BET:H01_H02:WB,g001
