activity_id,access_seq,week,eclo,access_night
A001,1,22,0,1
A001,2,30,0,1
A002,1,17,0,1
A003,1,11,0,1
A003,2,12,0,1
A003,3,13,0,1
A003,4,14,0,1
A003,5,16,0,1
A004,1,27,0,1
A004,2,29,0,1
A004,3,30,0,2
A006,1,3,0,1
A006,2,8,0,1
A007,1,15,0,1
A007,2,16,0,1
A007,3,17,0,1
A007,4,18,0,1
A007,5,19,0,1
A007,6,20,0,1
A007,7,25,0,1
A008,1,21,0,1
A008,2,25,1,1
A008,3,26,1,1
A008,4,27,0,2
A009,1,2,0,3
A009,2,3,0,1
A009,3,4,0,1
A009,4,5,0,2
A009,5,6,0,1
A009,6,7,0,2
A009,7,8,0,1
A011,1,24,0,1
A011,2,29,0,1
A012,1,2,0,1
A012,2,3,0,2
A012,3,4,0,2
A012,4,5,0,1
A012,5,7,0,1
A012,6,10,0,1
A012,7,15,0,1
A013,1,22,0,1
A013,2,23,0,1
A013,3,24,0,2
A013,4,26,0,2
A013,5,27,0,1
A014,1,15,0,2
A014,2,16,0,1
A014,3,17,0,2
A014,4,19,0,1
A014,5,21,0,1
A014,6,23,0,1
A014,7,29,0,1
A017,1,17,0,1
A017,2,18,0,3
A017,3,19,0,2
A017,4,20,0,1
A017,5,22,0,1
A017,6,24,0,1
A017,7,29,0,2
A019,1,15,0,1
A019,2,25,0,1
A020,1,13,0,1
A020,2,14,0,1
A021,1,25,1,2
A021,2,26,1,1
A023,1,22,0,1
A023,2,23,0,1
A023,3,24,0,1
A023,4,25,0,1
A023,5,26,0,2
A023,6,27,0,1
A023,7,30,0,1
A025,1,8,0,1
A025,2,10,0,3
A025,3,11,0,3
A025,4,12,0,3
A025,5,14,0,1
A025,6,15,0,3
A025,7,16,0,1
A028,1,9,0,1
A028,2,13,0,1
A031,1,1,0,1
A031,2,2,0,1
A035,1,7,0,1
A035,2,13,0,1
A035,3,30,0,1
A036,1,22,0,1
A036,2,23,0,1
A036,3,24,0,1
A036,4,25,1,1
A036,5,26,1,1
A036,6,27,0,1
A037,1,8,0,1
A037,2,9,0,1
A038,1,10,0,1
A038,2,15,0,1
A038,3,28,0,1
A039,1,8,0,3
A039,2,9,0,2
A039,3,12,0,3
A039,4,14,0,1
A039,5,17,0,3
A039,6,20,0,3
A039,7,30,0,2
A040,1,14,0,1
A040,2,16,0,1
A040,3,18,0,2
A040,4,19,0,1
A040,5,20,0,1
A040,6,22,0,1
A040,7,29,0,1
A041,1,11,0,1
A041,2,12,0,1
A042,1,23,0,2
A042,2,24,0,2
A042,3,30,0,1
A043,1,13,0,1
A043,2,15,0,1
A046,1,18,0,1
A046,2,23,0,1
A046,3,24,0,1
A046,4,26,0,1
A046,5,27,0,1
A047,1,22,0,1
A047,2,26,0,2
A048,1,1,0,1
A048,2,2,0,1
A048,3,3,0,1
A049,1,10,0,1
A049,2,12,0,1
A049,3,13,0,1
A049,4,14,0,1
A049,5,17,0,1
A050,1,17,0,2
A050,2,19,0,1
A051,1,29,0,1
A051,2,30,0,1
A054,1,18,0,1
A054,2,25,0,2
A055,1,25,0,1
A056,1,23,0,1
A056,2,26,0,1
A057,1,15,0,1
A057,2,16,0,1
A057,3,17,0,1
A057,4,18,0,2
A057,5,19,0,1
A057,6,20,0,1
A057,7,22,0,1
A058,1,2,0,1
A058,2,3,0,1
A058,3,4,0,1
A058,4,5,0,1
A058,5,13,1,1
A058,6,14,1,2
A059,1,14,0,1
A059,2,19,0,1
A059,3,20,0,1
A059,4,25,0,1
A059,5,28,0,1
A059,6,29,0,1
A059,7,30,0,1
A060,1,17,0,1
A060,2,23,0,1
A060,3,24,0,1
A061,1,4,0,1
A061,2,5,0,1
A061,3,25,1,1
A061,4,26,1,2
A061,5,27,0,1
A061,6,29,0,2
A063,1,10,0,3
A064,1,26,0,1
A065,1,19,0,1
A066,1,25,0,1
A069,1,9,0,1
A069,2,16,0,1
A070,1,13,1,1
A070,2,14,1,1
A070,3,20,0,1
A070,4,29,0,3
A071,1,27,0,1
A072,1,23,0,1
A073,1,26,0,1
A074,1,21,0,1
A075,1,28,0,1
